Rank,Player ID,Player,EX Rating,Charts Rated
76,zvF2KbMsexUrPPWRffOz0Cd7Ua7j,Tarnished_Petrus,2.322,5
77,zvCPiHVPz2m1T93kiN2dQDw6kPUm,paodejujubadoce,2.305,8
78,zv5JfH8pNp6NOHMEP0oHk0zmJBph,Starwann,2.846,15
79,zv5GI214KIMVJIHM4GMJuv3bd417,slashjade,7.096,173
80,zv25ipc3a3dCr754UwmqMhDumlOA,fireblaze-202002,4.271,61
81,zuwyCzJq0ONlYc4bZiMDcywW0Q3e,Hspy,2.065,1
82,zuuS3lbzPFfuVumuifVzo2PIq0BR,Creepyvortex,2.891,16
83,zutoCeGshk2HgneJtCr2rz7k4Grk,Uncle Gazpacho,2.663,14
84,zusSRYWEHnfOScGAgQkNXx7RgDJR,DeleteGlasses,2.326,7
85,zuo71nnFG1Dvq1rTRKPXVCmI2qYG,Spiderlily,2.045,2
86,zuhPgwtRbkmaRxExXj8UD7RXPQXE,mexicanken777,2.227,6
87,zueNT1WCbKmElInmNh1c8gXeeBGO,meerah,4.290,30
88,zuaKzpsFSAkqcfcOmWSsOeA1faRl,zerobones,3.518,18
89,zuUYtzkwpfGn68UsEOoQgEppGPQC,优思居,2.071,4
90,zuMgY3YYjRYmUcauSTEzfx9Qn9sN,SturmAbram,2.146,5
91,zuBvwpdKVXcEYRwhNV9fosxuvpvA,Downy,2.071,6
92,zuAR4mbtmDAtMTWkJ34aiZakTa4k,LoLuna,3.479,23
93,zu8hpn2mt2BhnzPeHi64w1BBfKSj,TTV_TheScottson,2.458,11
94,zu8HdXzUlYYHPaQxRXzVVFGrsLpb,Dixie014,2.095,4
95,zu5retqIVlQ7sk8lXIPNAwVlIEbR,Zei,3.467,55
96,zu1kkTlrrnx52irQOeigXybNsve6,Watermelon SD,3.950,63
97,ztzxdAoCHkMssNQtrH36VVeNfp1R,M5l0ry,2.326,6
98,ztuRDpLiuLFbx652KVeMEtdLTy5D,Flynn,2.846,37
99,zttXST3NgbYyiPA8r21Eoa5xknV6,Mela,2.051,3
100,zto888N6hzMwiCiJGGmELAB5SUMI,UIPluto,2.884,13
101,ztlUb6d0Cxy5c5vqAHtFvywCvx2g,magmajp,2.519,7
102,ztlURbRkxLtAIGQZ8aVr2HDMnASZ,Cyrin,2.060,4
103,ztiqDzd1SlVsYwPKysadMbkkwNVa,Gyrate Zebelly,2.142,4
104,zteNmDjGZb1OgZrufWgp9LZ5TKFZ,sametyan_jp,3.802,37
105,ztb3ygJZ2WaDMMNxV7CoVnznmbzI,antoninperron7,3.865,25
106,ztUJTDXJTmnJ1XbFvv5lg1PuZVvH,kim.m,5.530,36
107,ztUCFikU08jA93PbiHaMwywERnk5,Wistellia,4.704,38
108,ztTNYwLI8Zx0aPokLtO9INIkzrLL,ZZZEBAZZZZ,3.045,57
109,ztRpaFoAyxXKVF0cVZrdiKEES8nl,Snackbar,3.723,54
110,ztKgjnO1jwqajUZ4eoxhe68dEEPs,TheBitterOcean413,2.112,7
